der Abend | the evening
die Aussage | the statement
der Dialog | the dialogue
die Entschuldigung | the apology
die Form | the form
die Frage | the question
die Frau | the woman
die Grammatik | the grammar
der Herr | the gentleman
der Kurs | the course
der Kursteilnehmer | the course participant
die Kursteilnehmerin | the course participant
das Land | the country
der Mann | the man
die Nacht | the night
der Name | the name
die Person | the person
der Satz | the sentence
die Sprache | the language
der Tag | the day
das Wiedersehen | the reunion
das Wort | the word
die Adresse | the address
die Anmeldung | the registration
das Bild | the picture
der Bruder | the brother
die Eltern (Pl.) | the parents (pl.)
die Familie | the family
der Familienname | the family name
der Familienstand | the marital status
das Formular | the form
die Geschwister (Pl.) | the siblings (pl.)
die Handynummer | the mobile phone number
die Hausnummer | the house number
das Heimatland | the home country
die Information | the information
das Jahr | the year
das Kind | the child
der Kindergarten | the kindergarten
der Kontakt | the contact
die E-Mail | the e-mail
die Mutter | the mother
der Nachname | the surname
die Postleitzahl | the postcode
die Schwester | the sister
die Schwägerin | the sister-in-law
die Schwiegertochter | the daughter-in-law
der Schwiegervater | the father-in-law
der Sohn | the son
die Straße | the street
die Telefonnummer | the telephone number
die Tochter | the daughter
der Vater | the father
der Vorname | the first name
der Wohnort | the place of residence
die Zahl | the number
das Blatt | the leaf
der Bleistift | the pencil
das Buch | the book
der Deutschkurs | the German course
der Dienstag | Tuesday
der Donnerstag | Thursday
das Familienfoto | the family photo
der Feiertag | the holiday
das Fenster | the window
das Foto | the photo
der Freitag | Friday
der Freund | the friend
der Gruß | the greeting
die Hausaufgabe | the homework
das Heft | the notebook
die Karte | the card
der Kugelschreiber (Kuli) | the pen (biros)
das Kursbuch | the course book
der Kursraum | the classroom
die Lampe | the lamp
die Landkarte | the map
der Lehrer | the teacher
die Lehrerin | the teacher
die Liste | the list
der Mittwoch | the Wednesday
der Montag | the Monday
das Papier | the paper
der Papierkorb | the wastepaper basket
die Pause | the break
das Problem | the problem
der Projektor | the projector
der Radiergummi | the eraser
der Raum | the room
der Rucksack | the rucksack
die Sache | the thing
der Samstag | Saturday
die Seite | the page
der Schlüssel | the key
der Sonntag | Sunday
der Spaß | the fun
der Spitzer | the sharpener
der Stuhl | the chair
die Tabelle | the table
die Tafel | the blackboard
die Tasche | the bag
der Text | the text
der Tisch | the table
die Tür | the door
die Übung | the exercise
das Übungsbuch | the exercise book
die Wand | the wall
die Woche | the week
das Wochenende | the weekend
das Wörterbuch | the dictionary
der Zettel | the note
das Angebot | the offer
die Antwort | the answer
der Apfel | the apple
der Apfelsaft | the apple juice
die Aufgabe | the task
die Babynahrung | the baby food
die Banane | the banana
der Becher | the cup
das Beispiel | the example
das Bier | the beer
die Birne | the pear
das Bistro | the bistro
die Blaubeere | the blueberry
die Bohne | the bean
das Brot | the bread
das Brötchen | the roll
der Cent | the cent
die Cola | the cola
der Couscous | the couscous
die Dose | the tin
das Ei | the egg
der Einkaufszettel | the shopping list
die Erbse | the pea
die Erdbeere | the strawberry
der Fisch | the fish
die Flasche | the bottle
das Fleisch | the meat
das Frühstück | breakfast
das Gemüse | the vegetable
das Getränk | the drink
das Glas | the glass
das Gramm | the gram
die Himbeere | the raspberry
der Honig | the honey
der Joghurt | the yoghurt
der Kaffee | the coffee
die Kartoffel | the potato
der Käse | cheese
der Keks | the biscuit
die Kichererbse | the chickpea
das Kilo | the kilo
die Kirsche | the cherry
die Kiwi | the kiwi
die Kontrolle | the check
der Kuchen | the cake
der Kunde | the customer
die Kundin | the customer
das Lammfleisch | the lamb
